Feature	Gene	Type	Neighbor_inData	NumNeigh_inData
ACIN1_prot	ACIN1	prot	BRD2_mrna;CBFA2T2_mrna;CREBBP_mrna;CTNNB1_mrna;CUL3_mrna;EPC1_mrna;FNBP1_mrna;GAPVD1_mrna;MED13L_mrna;NUDCD3_mrna;RPS6KA3_mrna;SEPP1_mrna;SOS2_mrna;TBRG1_mrna;TIMM17A_mrna;TIMM23_mrna;TNRC6B_mrna;TRIP12_mrna;VPS13C_mrna;VPS35_mrna;ZBTB20_mrna;ZNF407_mrna;ABCF3_prot;AKR1C3_prot;ALYREF_prot;API5_prot;ARMCX3_prot;BANF1_prot;BOP1_prot;CASP6_prot;CASP7_prot;CAV1_prot;CUL3_prot;DDX17_prot;DHRS7B_prot;DHX15_prot;DHX9_prot;EIF4A3_prot;EPB41L2_prot;EVPL_prot;HNRNPA1_prot;PAFAH1B2_prot;PNN_prot;PRPF40A_prot;PRPF6_prot;PTCD3_prot;RBM39_prot;RCC1_prot;RHOT2_prot;RRS1_prot;S100A9_prot;SAP18_prot;SARNP_prot;SEPT2_prot;SEPT7_prot;SF3A1_prot;SF3A2_prot;SMC1A_prot;SMU1_prot;SNRPA1_prot;SON_prot;SRP14_prot;SRPK1_prot;SRRM1_prot;SUPT16H_prot;THRAP3_prot;TRMT112_prot;U2AF1_prot;U2AF2_prot;UTP14A_prot;WIBG_prot;YWHAB_prot;YWHAG_prot	73
ACKR1_mrna	ACKR1	mrna	BCLAF1_prot;CPSF1_prot;CTNNB1_prot;CUL3_prot;TRIM28_prot	5
ACKR2_mrna	ACKR2	mrna	ELF1_prot	1
ACKR3_mrna	ACKR3	mrna	ELF1_prot	1
ACKR4_mrna	ACKR4	mrna	ELF1_prot	1
ACLY_mrna	ACLY	mrna	CANX_prot;EML4_prot;GCN1L1_prot;GNB2L1_prot;MSH6_prot;NONO_prot;PTBP1_prot;RFC5_prot;SSRP1_prot;XPNPEP1_prot;XRN2_prot	11
ACLY_prot	ACLY	prot	APP_prot;ARF6_prot;BAG3_prot;CAND1_prot;CUL3_prot;HGS_prot;ISG15_prot;KPNA2_prot;KPNA4_prot;MCM2_prot;MCM6_prot;NCL_prot;PPP6C_prot;PRMT1_prot;SHC1_prot;SRRT_prot	16
ACO1_mrna	ACO1	mrna	CANX_prot;EML4_prot;GCN1L1_prot;GNB2L1_prot;MSH6_prot;NONO_prot;PTBP1_prot;RFC5_prot;SSRP1_prot;XPNPEP1_prot;XRN2_prot	11
ACO1_prot	ACO1	prot	APP_prot;CLTC_prot;CTPS1_prot;DCPS_prot;FUBP1_prot;LGALS1_prot;PSMG1_prot;PXN_prot;STRAP_prot	9
ACO2_mrna	ACO2	mrna	HDAC2_prot	1
ACO2_prot	ACO2	prot	ACAA2_prot;ACAT1_prot;AK3_prot;APP_prot;PSMD4_prot;SRRM2_prot;SUMO4_prot	7
ACOT11_mrna	ACOT11	mrna	HDAC2_prot	1
ACOT13_mrna	ACOT13	mrna	HDAC2_prot	1
ACOT13_prot	ACOT13	prot	ECI2_prot;NDUFAF2_prot;NUP214_prot;RAB31_prot;SBDS_prot;TSFM_prot	6
ACOT1_mrna	ACOT1	mrna	HDAC2_prot	1
ACOT1_prot	ACOT1	prot	CXADR_prot;HIBCH_prot	2
ACOT2_mrna	ACOT2	mrna	HDAC2_prot	1
ACOT4_mrna	ACOT4	mrna	HDAC2_prot	1
ACOT7_mrna	ACOT7	mrna	BUB3_prot;ELAVL1_prot;GNB1_prot;KPNA2_prot;MCM4_prot;NONO_prot;PDS5A_prot;PML_prot;PRPF4_prot;PSMD10_prot;RANBP1_prot;RAP1GDS1_prot;RBM14_prot;RFC5_prot;STIP1_prot;YARS_prot	16
ACOT7_prot	ACOT7	prot	ALDH9A1_prot;CAB39L_prot;GAPDH_prot;GDI1_prot;NDRG1_prot;NHLRC2_prot;PDIA3_prot;RCC2_prot;SORD_prot	9
ACOT8_mrna	ACOT8	mrna	BUB3_prot;ELAVL1_prot;GNB1_prot;KPNA2_prot;MCM4_prot;NONO_prot;PDS5A_prot;PML_prot;PRPF4_prot;PSMD10_prot;RANBP1_prot;RAP1GDS1_prot;RBM14_prot;RFC5_prot;STIP1_prot;YARS_prot	16
ACOT8_prot	ACOT8	prot	ERGIC1_prot;EXOC4_prot;ISG15_prot;MTCH1_prot;NMT1_prot;PML_prot;SDHA_prot	7
ACOT9_mrna	ACOT9	mrna	BUB3_prot;ELAVL1_prot;GNB1_prot;KPNA2_prot;MCM4_prot;NONO_prot;PDS5A_prot;PML_prot;PRPF4_prot;PSMD10_prot;RANBP1_prot;RAP1GDS1_prot;RBM14_prot;RFC5_prot;STIP1_prot;YARS_prot	16
ACOT9_prot	ACOT9	prot	C6_prot;DAB2_prot;EGFR_prot;ISLR_prot;NDUFS7_prot	5
ACOX1_mrna	ACOX1	mrna	BUB3_prot;ELAVL1_prot;GNB1_prot;KPNA2_prot;MCM4_prot;NONO_prot;PDS5A_prot;PML_prot;PRPF4_prot;PSMD10_prot;RANBP1_prot;RAP1GDS1_prot;RBM14_prot;RFC5_prot;STIP1_prot;YARS_prot	16
ACOX1_prot	ACOX1	prot	COX6B1_prot;ECI1_prot;ECI2_prot;GRHPR_prot;HNRNPF_prot;HRSP12_prot;HSD17B4_prot;M6PR_prot;PALLD_prot;SCP2_prot;TMED9_prot	11
ACOX2_mrna	ACOX2	mrna	BUB3_prot;ELAVL1_prot;GNB1_prot;KPNA2_prot;MCM4_prot;NONO_prot;PDS5A_prot;PML_prot;PRPF4_prot;PSMD10_prot;RANBP1_prot;RAP1GDS1_prot;RBM14_prot;RFC5_prot;STIP1_prot;YARS_prot	16
ACOX2_prot	ACOX2	prot	SLMAP_prot	1
ACOX3_mrna	ACOX3	mrna	POLR2A_prot	1
ACOXL_mrna	ACOXL	mrna	CBX3_prot	1
ACP1_prot	ACP1	prot	ACTB_prot;ACTBL2_prot;COPS5_prot;EIF6_prot;EPB41_prot;EPHB2_prot;MRPL20_prot;PAK2_prot;RPL12_prot	9
ACP2_mrna	ACP2	mrna	CBX3_prot	1
ACP2_prot	ACP2	prot	DNAJB11_prot;LGALS3_prot;LGALS9_prot;M6PR_prot;NIF3L1_prot;SGCD_prot;SLC7A1_prot;STX12_prot;UQCRFS1_prot	9
ACP5_mrna	ACP5	mrna	NFKB1_prot	1
ACP6_mrna	ACP6	mrna	NFKB1_prot	1
ACPP_mrna	ACPP	mrna	NFKB1_prot	1
ACPT_mrna	ACPT	mrna	NFKB1_prot	1
ACRBP_mrna	ACRBP	mrna	NFKB1_prot	1
ACRC_mrna	ACRC	mrna	NFKB1_prot	1
ACRV1_mrna	ACRV1	mrna	CCAR1_prot;ILF2_prot;ILF3_prot;PDLIM3_prot;PFDN6_prot;SFPQ_prot	6
ACSBG1_mrna	ACSBG1	mrna	CCAR1_prot;ILF2_prot;ILF3_prot;PDLIM3_prot;PFDN6_prot;SFPQ_prot	6
ACSBG2_mrna	ACSBG2	mrna	SF3B2_prot	1
ACSF2_mrna	ACSF2	mrna	SF3B2_prot	1
ACSF2_prot	ACSF2	prot	ARL6IP1_prot;BPNT1_prot;GNB2_prot;HSPD1_prot;PPA2_prot	5
